comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,87831000000,87831000000,None,34153000000,126012000000,160165000000,2025-06-30,193893000000,123627000000,21795000000,None,2385000000,767000000,None,101832000000,101832000000,262000000,None,65365000000,128528000000,None,USD,32488000000,7223000000,281724000000
None,74114000000,74114000000,None,22287000000,110722000000,133009000000,2024-06-30,171008000000,107787000000,19651000000,None,2935000000,3157000000,None,88136000000,88136000000,222000000,None,61575000000,109433000000,None,USD,29510000000,7609000000,245122000000
None,65863000000,65863000000,None,13861000000,91279000000,105140000000,2023-06-30,146052000000,89311000000,16950000000,None,1968000000,1041000000,None,72361000000,72361000000,1026000000,None,57529000000,88523000000,None,USD,27195000000,7575000000,211915000000
None,62650000000,62650000000,None,14460000000,85779000000,100239000000,2022-06-30,135620000000,83716000000,10978000000,None,2063000000,2094000000,None,72738000000,72738000000,31000000,None,52237000000,83383000000,333000000,USD,24512000000,5900000000,198270000000
None,52232000000,52232000000,None,11686000000,73448000000,85134000000,2021-06-30,115856000000,71102000000,9831000000,None,2346000000,2131000000,None,61271000000,61271000000,-215000000,None,45940000000,69916000000,1186000000,USD,20716000000,5107000000,168088000000
None,46078000000,46078000000,None,12796000000,55627000000,68423000000,2020-06-30,96937000000,53036000000,8755000000,None,2591000000,2680000000,None,44281000000,44281000000,-2591000000,None,43978000000,52959000000,77000000,USD,19269000000,5111000000,143015000000
None,42910000000,42910000000,None,11682000000,46374000000,58056000000,2019-06-30,82933000000,43688000000,4448000000,None,2686000000,812000000,None,39240000000,39240000000,-2686000000,None,39974000000,42959000000,729000000,USD,16876000000,4885000000,125843000000
None,38353000000,38353000000,None,10261000000,39207000000,49468000000,2018-06-30,72007000000,36474000000,19903000000,None,2733000000,1522000000,None,16571000000,16571000000,-2733000000,None,36949000000,35058000000,1416000000,USD,14726000000,4754000000,110360000000
None,34261000000,34261000000,None,8778000000,32123000000,40901000000,2017-06-30,62310000000,29901000000,4412000000,None,2222000000,1182000000,None,25489000000,21204000000,-2222000000,None,32979000000,29025000000,823000000,USD,13037000000,4481000000,96571000000
None,32780000000,32780000000,None,6622000000,26882000000,33504000000,2016-06-30,58374000000,25639000000,5100000000,None,1243000000,78000000,None,20539000000,16798000000,-1243000000,None,32296000000,26078000000,-431000000,USD,11988000000,4563000000,91154000000
None,33038000000,33038000000,None,5957000000,19288000000,25245000000,2015-06-30,60542000000,18507000000,6314000000,None,781000000,None,None,12193000000,12193000000,None,None,42381000000,18161000000,346000000,USD,12046000000,4611000000,93580000000
None,27078000000,27078000000,None,5212000000,28417000000,33629000000,2014-06-30,59755000000,27820000000,5746000000,None,597000000,None,None,22074000000,22074000000,None,None,31869000000,27759000000,61000000,USD,11381000000,4677000000,86833000000
None,20385000000,20385000000,None,3755000000,27481000000,31236000000,2013-06-30,57464000000,27052000000,5189000000,None,429000000,None,None,21863000000,21863000000,None,None,30700000000,26764000000,288000000,USD,10411000000,5013000000,77849000000
None,17530000000,17530000000,None,2967000000,22647000000,25614000000,2012-06-30,56193000000,22267000000,5289000000,None,380000000,None,None,16978000000,16978000000,None,None,28237000000,21763000000,504000000,USD,9811000000,4569000000,73723000000
None,15577000000,15577000000,None,2766000000,28366000000,31132000000,2011-06-30,54366000000,28071000000,4921000000,None,295000000,None,None,23150000000,23150000000,None,None,27205000000,27161000000,910000000,USD,9043000000,4222000000,69943000000
None,12395000000,12395000000,None,2673000000,25164000000,27837000000,2010-06-30,50089000000,25013000000,6253000000,None,151000000,None,None,18760000000,18760000000,None,None,25991000000,24098000000,915000000,USD,8714000000,4063000000,62484000000
None,12155000000,12155000000,None,2562000000,19859000000,22421000000,2009-06-30,46282000000,19821000000,5252000000,None,38000000,None,None,14569000000,None,None,None,25919000000,20363000000,None,USD,9010000000,4030000000,58437000000
None,11598000000,11598000000,None,2056000000,23920000000,25976000000,2008-06-30,48822000000,23814000000,6133000000,None,106000000,None,None,17681000000,None,None,None,26551000000,22271000000,None,USD,8164000000,5127000000,60420000000
None,10693000000,10693000000,None,1440000000,18438000000,19878000000,2007-06-30,40429000000,20101000000,6036000000,None,0,None,None,14065000000,None,None,None,21991000000,18438000000,None,USD,7121000000,3329000000,51122000000
None,7650000000,7650000000,None,903000000,16472000000,17375000000,2006-06-30,36632000000,18262000000,5663000000,None,0,None,None,12599000000,None,None,None,20160000000,16472000000,None,USD,6584000000,3758000000,44282000000
